title,artist,rank,genre,year
Golden Light,Madden Featuring 6AM,87,pop,2016
Crazy Love,Audien Featuring Deb's Daughter,88,pop,2016
Automatic,ZHU x AlunaGeorge,89,pop,2016
Don't Be So Hard On Yourself,Jess Glynne,90,pop,2016
The Right Song,Tiesto + Oliver Heldens Featuring Natalie La Rose,91,pop,2016
Easy Love,Sigala.,92,pop,2016
Blackout,Tritonal Featuring Steph Jones,93,pop,2016
Setting Fires,The Chainsmokers Featuring XYLO,94,pop,2016
Flesh Without Blood,Grimes,95,pop,2016
Is It Love,3LAU Featuring Yeah Boy,96,pop,2016
It's Strange,Louis The Child Featuring k.flay,97,pop,2016
Love$ick,Mura Masa Featuring A$AP Rocky,98,pop,2016
Love On Me,Galantis & Hook N Sling,99,pop,2016
La La Land,DVBBS & Shaun Frank Featuring Delaney Jane,100,pop,2016
Something Just Like This,The Chainsmokers & Coldplay,1,pop,2017
Closer,The Chainsmokers Featuring Halsey,2,pop,2017
Stay,Zedd & Alessia Cara,3,pop,2017
It Ain't Me,Kygo x Selena Gomez,4,pop,2017
Let Me Love You,DJ Snake Featuring Justin Bieber,5,pop,2017
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,6,pop,2017
Paris,The Chainsmokers,7,pop,2017
Slide,Calvin Harris Featuring Frank Ocean & Migos,8,pop,2017
No Promises,Cheat Codes Featuring Demi Lovato,9,pop,2017
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",10,pop,2017
This Is What You Came For,Calvin Harris Featuring Rihanna,11,pop,2017
2U,David Guetta Featuring Justin Bieber,12,pop,2017
Don't Let Me Down,The Chainsmokers Featuring Daya,13,pop,2017
Cold Water,Major Lazer Featuring Justin Bieber & MO,14,pop,2017
In The Name Of Love,Martin Garrix & Bebe Rexha,15,pop,2017
Silence,Marshmello Featuring Khalid,16,pop,2017
Scared To Be Lonely,Martin Garrix & Dua Lipa,17,pop,2017
Swish Swish,Katy Perry Featuring Nicki Minaj,18,pop,2017
Symphony,Clean Bandit Featuring Zara Larsson,19,pop,2017
Call On Me,Starley,20,pop,2017
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",21,pop,2017
Rollin,Calvin Harris Featuring Future & Khalid,22,pop,2017
Mama,Jonas Blue Featuring William Singe,23,pop,2017
Just Hold On,Steve Aoki & Louis Tomlinson,24,pop,2017
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,25,pop,2017
First Time,Kygo & Ellie Goulding,26,pop,2017
Get Low,Zedd & Liam Payne,27,pop,2017
Honest,The Chainsmokers,28,pop,2017
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,29,pop,2017
More Than You Know,Axwell & Ingrosso,30,pop,2017
There For You,Martin Garrix x Troye Sivan,31,pop,2017
My Way,Calvin Harris,32,pop,2017
Setting Fires,The Chainsmokers Featuring XYLO,33,pop,2017
The One,The Chainsmokers,34,pop,2017
Shooting Stars,Bag Raiders,35,pop,2017
You Don't Know Me,Jax Jones Featuring RAYE,36,pop,2017
Solo Dance,Martin Jensen,37,pop,2017
Ritual,Marshmello Featuring Wrabel,38,pop,2017
Never Be Like You,Flume Featuring Kai,39,pop,2017
Would You Ever,Skrillex Featuring Poo Bear,40,pop,2017
Wolves,Selena Gomez X Marshmello,41,pop,2017
Bad Romance,Lady Gaga,42,pop,2017
Lonely Together,Avicii Featuring Rita Ora,43,pop,2017
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",44,pop,2017
Purple Lamborghini,Skrillex & Rick Ross,45,pop,2017
I Love You,Axwell & Ingrosso Featuring Kid Ink,46,pop,2017
Shed A Light,Robin Schulz & David Guetta & Cheat Codes,47,pop,2017
Light,San Holo,48,pop,2017
Rich Love,OneRepublic With Seeb,49,pop,2017
Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,50,pop,2017
Poker Face,Lady Gaga,51,pop,2017
By Your Side,Jonas Blue Featuring RAYE,52,pop,2017
Moving On,Marshmello,53,pop,2017
Without You,Avicii Featuring Sandro Cavazza,54,pop,2017
Young,The Chainsmokers,55,pop,2017
Instruction,Jax Jones Featuring Demi Lovato & Stefflon Don,56,pop,2017
Feel Good,Gryffin And ILLENIUM Featuring Daya,57,pop,2017
Sunset Lover,Petit Biscuit,58,pop,2017
Alone,Marshmello,59,pop,2017
Andromeda,Gorillaz Featuring D.R.A.M.,60,pop,2017
Alone,Alan Walker,61,pop,2017
Break Up Every Night,The Chainsmokers,62,pop,2017
Not Going Home,DVBBS X CMC$ Featuring Gia Koka,63,pop,2017
Stargazing,Kygo Featuring Justin Jesso,64,pop,2017
A Different Way,DJ Snake Featuring Lauv,65,pop,2017
Light My Body Up,David Guetta Featuring Nicki Minaj & Lil Wayne,66,pop,2017
Just Dance,Lady Gaga Featuring Colby O'Donis,67,pop,2017
OK,Robin Schulz Featuring James Blunt,68,pop,2017
Hear Me Now,"Alok, Bruno Martini, Zeeba",69,pop,2017
Taped Up Heart,KREAM Featuring Clara Mae,70,pop,2017
My Type,The Chainsmokers Featuring Emily Warren,71,pop,2017
Falling,Alesso,72,pop,2017
Love$ick,Mura Masa Featuring A$AP Rocky,73,pop,2017
