title,artist,rank,genre,year
Hooked,Dylan Scott,17,pop,2018
Drunk Girl,Chris Janson,18,pop,2018
Singles You Up,Jordan Davis,19,pop,2018
Hotel Key,Old Dominion,20,pop,2018
Lose It,Kane Brown,21,pop,2018
Five More Minutes,Scotty McCreery,22,pop,2018
She Got The Best Of Me,Luke Combs,23,pop,2018
I Was Jack (You Were Diane),Jake Owen,24,pop,2018
Life Changes,Thomas Rhett,25,pop,2018
Beautiful Crazy,Luke Combs,26,pop,2018
I Lived It,Blake Shelton,27,pop,2018
"Woman, Amen",Dierks Bentley,28,pop,2018
All On Me,Devin Dawson,29,pop,2018
Blue Tacoma,Russell Dickerson,30,pop,2018
Yours,Russell Dickerson,31,pop,2018
Speechless,Dan + Shay,32,pop,2018
Hangin' On,Chris Young,33,pop,2018
The Long Way,Brett Eldredge,34,pop,2018
Babe,Sugarland Featuring Taylor Swift,35,pop,2018
Written In The Sand,Old Dominion,36,pop,2018
What Ifs,Kane Brown Featuring Lauren Alaina,37,pop,2018
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,38,pop,2018
Cry Pretty,Carrie Underwood,39,pop,2018
For The First Time,Darius Rucker,40,pop,2018
Greatest Love Story,LANCO,41,pop,2018
Kiss Somebody,Morgan Evans,42,pop,2018
Best Shot,Jimmie Allen,43,pop,2018
Rich,Maren Morris,44,pop,2018
Coming Home,Keith Urban Featuring Julia Michaels,45,pop,2018
Body Like A Back Road,Sam Hunt,46,pop,2018
I'll Name The Dogs,Blake Shelton,47,pop,2018
You Broke Up With Me,Walker Hayes,48,pop,2018
Born To Love You,LANCO,49,pop,2018
Drunk Me,Mitchell Tenpenny,50,pop,2018
Like I Loved You,Brett Young,51,pop,2018
Desperate Man,Eric Church,52,pop,2018
She's With Me,High Valley,53,pop,2018
Losing Sleep,Chris Young,54,pop,2018
Heart Break,Lady Antebellum,55,pop,2018
Female,Keith Urban,56,pop,2018
Millionaire,Chris Stapleton,57,pop,2018
Unforgettable,Thomas Rhett,58,pop,2018
Boy,Lee Brice,59,pop,2018
Get To You,Michael Ray,60,pop,2018
Hide The Wine,Carly Pearce,61,pop,2018
